"chr","start","end","strand","gene_name","exonStarts","exonEnds"
"chr19",56810082,56840726,"-","PEG3 - NM_001369730","56810082,56817745,56818599,56821650,56822752,56823589,56824261,56833289,56836017,56840581,","56817579,56817838,56818702,56821754,56822836,56823679,56824427,56833420,56836104,56840726,"
"chr19",56810082,56840726,"-","PEG3 - NM_001369728","56810082,56817745,56818599,56821650,56822752,56823589,56824261,56826387,56829782,56836017,56840581,","56817579,56817838,56818702,56821754,56822836,56823679,56824427,56826463,56829921,56836104,56840726,"
"chr19",56810082,56840726,"-","PEG3 - NM_001369727","56810082,56817745,56818599,56821650,56822752,56823589,56824261,56826387,56836017,56840581,","56817579,56817838,56818702,56821754,56822836,56823679,56824512,56826463,56836104,56840726,"
"chr19",56810082,56840726,"-","PEG3 - NM_001369726","56810082,56817745,56818599,56821650,56822752,56823589,56824261,56833289,56833642,56836017,56840581,","56817579,56817838,56818702,56821754,56822836,56823679,56824427,56833420,56833763,56836104,56840726,"
"chr19",56810082,56840726,"-","PEG3 - NM_001369725","56810082,56817745,56818599,56821650,56822752,56823589,56824261,56836017,56840586,","56817579,56817838,56818702,56821754,56822836,56823679,56824427,56836104,56840726,"
"chr19",56810082,56840726,"-","PEG3 - NM_001369724","56810082,56817745,56818599,56821650,56822752,56823589,56824261,56826387,56833289,56833642,56836017,56840581,","56817579,56817838,56818702,56821754,56822836,56823679,56824427,56826463,56833420,56833763,56836104,56840726,"
"chr19",56774555,56840726,"-","ZIM2 - NR_163140","56774555,56779376,56781952,56782399,56789871,56818599,56821650,56822752,56823589,56824261,56826387,56836017,56840581,","56775529,56779472,56782121,56782471,56789951,56818702,56821754,56822836,56823679,56824427,56826463,56836104,56840726,"
"chr19",56774555,56840726,"-","ZIM2 - NR_163141","56774555,56779376,56781952,56782399,56789871,56817745,56818599,56821650,56822752,56823589,56824261,56836017,56840581,","56775529,56779472,56782121,56782471,56789951,56817838,56818702,56821754,56822836,56823679,56824427,56836104,56840726,"
"chr19",56774555,56840726,"-","ZIM2 - NR_163142","56774555,56779376,56781952,56782399,56789871,56817745,56818599,56821650,56822752,56823589,56824261,56833289,56836017,56840581,","56775529,56779472,56782121,56782471,56789951,56817838,56818702,56821754,56822836,56823679,56824427,56833420,56836104,56840726,"
"chr19",56774555,56840726,"-","ZIM2 - NR_163143","56774555,56779376,56781952,56782399,56789871,56818599,56821650,56822752,56823589,56824261,56826387,56836017,56840581,","56775529,56779472,56782121,56782471,56789951,56818702,56821754,56822836,56823679,56824741,56826463,56836104,56840726,"
"chr19",56831017,56840726,"-","PEG3 - NR_161476","56831017,56833642,56836017,56840586,","56833420,56833763,56836104,56840726,"
"chr19",56831017,56840726,"-","PEG3 - NR_161475","56831017,56833642,56836017,56840581,","56833420,56833763,56836104,56840726,"
